,X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
161,-1.02E+01,1.92E+00,6.76E+00,2.95E+02
162,-1.05E+01,2.05E+00,6.76E+00,2.95E+02
163,-1.07E+01,2.22E+00,6.76E+00,2.96E+02
164,-9.91E+00,2.04E+00,6.76E+00,2.98E+02
165,-1.02E+01,2.08E+00,6.76E+00,2.95E+02
166,-1.01E+01,2.10E+00,6.76E+00,2.95E+02
167,-1.04E+01,2.23E+00,6.76E+00,2.95E+02
168,-1.06E+01,2.37E+00,6.76E+00,2.95E+02
169,-1.07E+01,2.42E+00,6.76E+00,2.96E+02
170,-9.93E+00,2.28E+00,6.76E+00,2.96E+02
171,-1.02E+01,2.25E+00,6.76E+00,2.95E+02
172,-1.03E+01,2.39E+00,6.76E+00,2.95E+02
173,-1.05E+01,2.56E+00,6.76E+00,2.95E+02
174,-1.07E+01,2.64E+00,6.76E+00,2.96E+02
175,-9.91E+00,2.45E+00,6.76E+00,2.96E+02
176,-1.01E+01,2.47E+00,6.76E+00,2.95E+02
177,-1.03E+01,2.59E+00,6.76E+00,2.95E+02
178,-1.05E+01,2.73E+00,6.76E+00,2.95E+02
179,-1.06E+01,2.81E+00,6.76E+00,2.95E+02
180,-1.07E+01,2.96E+00,6.76E+00,2.96E+02
181,-9.93E+00,2.65E+00,6.76E+00,2.96E+02
182,-1.01E+01,2.70E+00,6.76E+00,2.95E+02
183,-1.03E+01,2.81E+00,6.76E+00,2.95E+02
184,-1.05E+01,2.97E+00,6.76E+00,2.95E+02
185,-1.06E+01,3.10E+00,6.76E+00,2.95E+02
186,-9.92E+00,2.87E+00,6.76E+00,2.95E+02
187,-1.01E+01,2.92E+00,6.76E+00,2.95E+02
188,-1.03E+01,3.01E+00,6.76E+00,2.95E+02
189,-1.03E+01,3.14E+00,6.76E+00,2.98E+02
190,-9.92E+00,3.08E+00,6.76E+00,2.97E+02
191,-3.40E+00,1.12E+01,4.99E+00,2.92E+02
192,-3.41E+00,1.12E+01,4.99E+00,2.92E+02
193,-3.42E+00,1.11E+01,4.99E+00,2.92E+02
194,-3.44E+00,1.10E+01,4.99E+00,2.93E+02
195,-3.47E+00,1.08E+01,4.99E+00,2.93E+02
196,-3.51E+00,1.06E+01,5.00E+00,2.93E+02
197,-3.54E+00,1.05E+01,5.00E+00,2.93E+02
198,-3.55E+00,1.04E+01,5.00E+00,2.93E+02
199,-3.58E+00,1.02E+01,5.00E+00,2.93E+02
200,-3.64E+00,9.93E+00,5.01E+00,2.93E+02
201,-3.68E+00,9.74E+00,5.02E+00,2.94E+02
202,-3.73E+00,9.44E+00,5.03E+00,2.94E+02
203,-3.85E+00,8.86E+00,5.05E+00,2.94E+02
204,-3.99E+00,8.20E+00,5.08E+00,2.94E+02
205,-4.08E+00,7.79E+00,5.10E+00,2.94E+02
206,-4.20E+00,7.27E+00,5.12E+00,2.94E+02
207,-4.31E+00,6.75E+00,5.15E+00,2.94E+02
208,-4.45E+00,6.11E+00,5.18E+00,2.94E+02
209,-4.59E+00,5.49E+00,5.21E+00,2.94E+02
210,-4.77E+00,4.68E+00,5.27E+00,2.94E+02
211,-4.93E+00,3.90E+00,5.37E+00,2.94E+02
212,-5.04E+00,3.36E+00,5.47E+00,2.94E+02
213,-5.09E+00,3.12E+00,5.51E+00,2.94E+02
214,-5.20E+00,2.68E+00,5.56E+00,2.94E+02
215,-5.22E+00,2.56E+00,5.57E+00,2.94E+02
216,-5.29E+00,2.34E+00,5.58E+00,2.94E+02
217,-5.36E+00,2.11E+00,5.56E+00,2.94E+02
218,-5.44E+00,1.87E+00,5.51E+00,2.94E+02
219,-5.55E+00,1.63E+00,5.42E+00,2.94E+02
220,-5.63E+00,1.49E+00,5.34E+00,2.94E+02
221,-5.78E+00,1.27E+00,5.16E+00,2.94E+02
222,-6.02E+00,1.05E+00,4.87E+00,2.94E+02
223,-6.23E+00,9.10E-01,4.62E+00,2.94E+02
224,-6.35E+00,8.37E-01,4.48E+00,2.94E+02
225,-6.61E+00,6.87E-01,4.26E+00,2.94E+02
226,-6.66E+00,6.57E-01,4.23E+00,2.94E+02
227,-6.76E+00,5.95E-01,4.18E+00,2.94E+02
228,-6.96E+00,4.62E-01,4.11E+00,2.95E+02
229,-7.25E+00,2.94E-01,4.12E+00,2.95E+02
230,-7.56E+00,1.52E-01,4.20E+00,2.95E+02
231,-8.01E+00,2.07E-03,4.38E+00,2.95E+02
232,-8.27E+00,-5.53E-02,4.50E+00,2.95E+02
